,Vendor Code,Company,County,City,Zip,Vendor_Address,lat,lon
150,165571,"HONGJOO KIM LANDSCAPE ARCHITECTS, INC.",In LA County,LOS ANGELES,90015,"714  W OLYMPIC BLVD, LOS ANGELES, CA, 90015",34.0440948,-118.26335
151,165571,"HONGJOO KIM LANDSCAPE ARCHITECTS, INC.",In LA County,LOS ANGELES,90015,"714  W OLYMPIC BLVD, LOS ANGELES, CA, 90015",34.0440948,-118.26335
152,207065,SAMUEL E GORDON JR,In LA County,LOS ANGELES,90011,"708  E 53RD ST, LOS ANGELES, CA, 90011",33.9940776,-118.2628262
153,129509,MEDG INTERNATIONAL INC,In LA County,GLENDALE,91201,"701  SONORA AVE, GLENDALE, CA, 91201",34.163099,-118.291421
154,109817,"LEE ANDREWS GROUP, INC",In LA County,LOS ANGELES,90017,"700  S FLOWER ST , LOS ANGELES, CA, 90017",34.0481796,-118.258832
155,105081,COUNCIL FOR WATERSHED HEALTH,In LA County,LOS ANGELES,90012,"700  N. ALAMEDA ST., LOS ANGELES, CA, 90012",34.055704,-118.237482
156,510739,MCM INTEGRATED SYSTEMS,In LA County,VAN NUYS,91406,"6961  HAYVENHURST AVE, VAN NUYS, CA, 91406",,
157,503235,OPTIMIST BOYS' HOME AND RANCH INC,In LA County,LOS ANGELES,90042,"6957  N FIGUEROA ST, LOS ANGELES, CA, 90042",34.1285308,-118.1877034
158,503235,OPTIMIST BOYS' HOME AND RANCH INC,In LA County,LOS ANGELES,90042,"6957  N FIGUEROA ST, LOS ANGELES, CA, 90042",34.1285308,-118.1877034
159,503235,OPTIMIST BOYS' HOME AND RANCH INC,In LA County,LOS ANGELES,90042,"6957  N FIGUEROA ST, LOS ANGELES, CA, 90042",34.1285308,-118.1877034
160,173924,ALLIANCE FOR COMMUNITY EMPOWERMENT,In LA County,CANOGA PARK,91303,"6925  CANOGA AVE, CANOGA PARK, CA, 91303",34.1960865,-118.5975758
161,508563,AAA RUBBISH INC,In LA County,BELL GARDENS CA,90201,"6920  FOSTER BRIDGE BLVD, BELL GARDENS CA, CA, 90201",33.9679335,-118.1377819
162,148659,HEALTHCARE STAFFING PROFESSIONALS INC,In LA County,RESEDA,91335,"6914  CANBY AVENUE, RESEDA, CA, 91335",34.1958799,-118.5346251
163,169786,GREEN BUILDING CORPORATION,In LA County,N HOLLYWOOD,91605,"6913  ALCOVE AVE, N HOLLYWOOD, CA, 91605",34.1970825,-118.4127165
164,156188,GREEN TRANSLATIONS,In LA County,LAKE BALBOA,91406,"6907  RUBIO AVE, LAKE BALBOA, CA, 91406",34.195991,-118.4958714
165,152509,YAKAR,In LA County,COVINA,91723,"689  E SAN BERNARDINO RD, COVINA, CA, 91723",34.0902142,-117.8899725
166,114452,STERLING VAN LINES,In LA County,BELL GARDENS,90201,"6850  SUVA ST, BELL GARDENS, CA, 90201",33.966562,-118.1395956
167,507051,HUMAN SERVICES ASSOCIATION,In LA County,BELL GARDENS,90201,"6800  FLORENCE AVE., BELL GARDENS, CA, 90201",33.9622514,-118.1468488
168,192028,"MODERN TIMES, INC",In LA County,PASADENA,91101,"680  E COLORADO BLVD, PASADENA, CA, 91101",34.1450951,-118.1364248
169,171667,CALCOMP GRAPHIC SOLUTIONS,Outside of LA County,CYPRESS,90630,"6703  INTERNATIONAL AVE., CYPRESS, CA, 90630",33.8052379,-118.0155535
